,K1,K2,K3,e,r,z
K1,0.6933988564361797,0.14209792590754997,0.18734975485261282,0.12341623055199982,0.15853642520386538,0.1391906727751178
K2,0.3079074960714576,0.7044766377366524,0.13851004237667447,0.09671506017719463,0.11070743586958602,0.18176359432639683
K3,0.543163515491379,0.5445012556435482,0.7231132508613429,0.0827146472220602,0.12158378510645397,0.1034693094005694
e,0.11029166037186092,0.056994776954247525,0.06724388186759139,0.711202205929726,0.2560025725449588,0.2860775071325377
r,0.10237453637991477,0.08735316586952825,0.10619318943731214,0.3332532413894561,1.0000000000000002,0.0
z,0.11599474998491917,0.14976629286950655,0.11210974384931978,0.2497586283646113,0.4683010823077517,0.9999999999999998
