,K1,K2,K3,e,r,z
K1,2.9184728916625104,0.4992162567157475,0.5353217392905154,0.9032619624656949,0.5421811304364093,0.45569463543701777
K2,1.5155256645000375,2.917231940837853,0.9045468004537405,0.5222665177104894,0.41316777912050345,0.2348050883853615
K3,1.7167621433851878,2.78293528543207,2.9262132499724363,0.6569252872085318,0.4017727661625442,0.30362243111000925
e,0.7718286022402729,0.5566513203959638,0.5865458777360983,2.9756236233574533,0.8193266337987856,0.9314535788838522
r,0.4629564783924298,0.36895242539801426,0.36237487183873285,0.8073394952337585,1.0000000000000002,0.0
z,0.3882944257134251,0.25563561533249124,0.2587287583376008,0.9474867898275473,0.8438028039865008,0.9999999999999998
