,K1,K2,K3,e,r,z
K1,0.7245691366542989,0.18220200615294724,0.2235600575030049,0.2069715082049709,0.3452167112508129,0.22861630983299622
K2,0.5681808912458757,0.7344340659388358,0.17492369539607044,0.16082591073205665,0.2147238328707767,0.18876905513992112
K3,0.7198925595722081,0.5579265792696565,0.7495476257092415,0.18906930472900524,0.29214771096334324,0.2241688928102723
e,0.1905323816361506,0.15897378966262365,0.1874348622720215,0.7231615241180847,0.40090055301285915,0.47323402690696303
r,0.29391788119781204,0.23708562998289948,0.2921177628707898,0.33323695803349196,1.0000000000000002,0.0
z,0.2213112791888483,0.18388777832890962,0.22179634412211774,0.468506983273429,0.7747614992185239,1.0
