,K1,K2,K3,e,r,z
K1,0.6923921315887585,0.11354859178737459,0.23166310149366082,0.13733694924055687,0.1394917617514434,0.11086845092353206
K2,0.5066125448270244,0.6431052452965935,0.1883099358786572,0.08556128336896782,0.1413078565456258,0.09065054483685238
K3,0.6425569658800933,0.4959543870138703,0.7391425025870977,0.12933892845392878,0.14056791508822658,0.07810473214419589
e,0.1028647211967475,0.15756282958793577,0.12577209576073528,0.6456430436210598,0.15196251195649083,0.27925742771560436
r,0.11994182618835272,0.22749687776830693,0.14607645214541293,0.16119816768915923,1.0000000000000004,0.0
z,0.08337147781578569,0.12317334510232215,0.08422342742552841,0.286527748211364,0.34193863072351155,1.0000000000000007
