,K1,K2,K3,e,r,z
K1,2.918530553612483,0.7797901557851774,0.8625640222139664,0.9389302657288445,0.5135274810899133,0.4733771328861521
K2,1.463728638265314,2.3500886073848513,0.4898800098131102,0.38949814051209963,0.24132985835637485,0.13341816674594692
K3,2.432995921971082,2.1513394599785194,2.892377295009298,0.6581524426432325,0.40541116809856415,0.3413035425978365
e,0.778036439315924,0.6161451910707176,0.7379675740317502,2.7556340712202436,0.6675869817737137,0.9031787406942644
r,0.42814917401659663,0.4102061890680653,0.46925970232782194,0.8034493024946234,1.0,0.0
z,0.38735042195551317,0.3054494122116359,0.3758798817218799,0.7426385325430247,0.6468623204410595,1.0000000000000002
