,K1,K2,K3,e,r,z
K1,2.698929609588012,0.674314559179977,0.7402856077696052,1.102523777941792,0.7310258498323031,0.42812012910269487
K2,1.7838263561505432,2.73426537985503,0.6798600195664368,0.5351847672520212,0.3855637424760682,0.3466094722927912
K3,2.6322051238234905,1.9042630346308091,2.904788249300288,1.087600100076759,0.6247021646165997,0.38937065862784714
e,0.9102679886378628,0.9865917764110982,0.8923033287548199,2.679972984559222,0.4940496501725202,0.6230825142893253
r,0.5846139387988826,0.5774639096334366,0.5873584220117122,0.5258317662967233,0.9999999999999997,0.0
z,0.32370319189577357,0.3228494238115904,0.3522147459588372,0.410109675781232,0.6229139293035622,1.0000000000000004
