,K1,K2,K3,e,r,z
K1,2.437984701713199,0.673612517691636,0.8500588643476761,0.6826612754085266,0.7460134988881211,0.2853392719137142
K2,1.1827343348295185,2.4373420756680755,0.3496256458765325,0.5426468536619221,0.2740642316090979,0.225937326910244
K3,1.7617774243829212,1.929616569981635,2.9618299910224937,0.5772757818264045,0.5994744730513317,0.22494751304019
e,0.6918183404276617,0.3896449454413925,0.5644543867269209,2.8530214102669404,0.5275021124105568,0.9512235087786236
r,0.3468339581757358,0.3998749956655008,0.5812367820742678,0.47003601871728873,1.0000000000000002,0.0
z,0.32326815102507267,0.1603064665079386,0.2226303142663074,0.8985478343986572,0.49643434800200187,0.9999999999999998
