,K1,K2,K3,e,r,z
K1,2.773595425744719,0.5683917036301999,0.7493990194104513,0.4936649222079993,0.31707285040773076,0.2783813455502356
K2,1.2316299842858305,2.8179065509466095,0.5540401695066979,0.3868602407087785,0.22141487173917204,0.36352718865279365
K3,2.172654061965516,2.178005022574193,2.8924530034453717,0.3308585888882408,0.24316757021290794,0.2069386188011388
e,0.44116664148744367,0.2279791078169901,0.26897552747036557,2.844808823718904,0.5120051450899176,0.5721550142650754
r,0.20474907275982954,0.1747063317390565,0.21238637887462428,0.6665064827789122,1.0000000000000002,0.0
z,0.23198949996983834,0.2995325857390131,0.22421948769863956,0.4995172567292226,0.4683010823077517,0.9999999999999998
