,K1,K2,K3,e,r,z
K1,0.7122801012600064,0.09415611683894644,0.13799285553556265,0.15560602829343706,0.23144858973966997,0.19023759823919606
K2,0.34889817927054056,0.6874538347493214,0.12891448340137363,0.12847677455101605,0.17820640957115216,0.1317018491921527
K3,0.4200846372577124,0.2498278549814869,0.6465381223428195,0.1282061840270928,0.21600965014991627,0.11207331253846067
e,0.16117815502976127,0.1204564296859732,0.14843988775871547,0.674413262263688,0.25698723519785305,0.4451628953290003
r,0.2475019452045386,0.17285436212686398,0.18464141104728465,0.1607458999501385,0.9999999999999997,0.0
z,0.18189757823333502,0.11892989162391314,0.1941379711355103,0.4113437073202767,0.45420072887387086,0.9999999999999998
