,K1,K2,K3,e,r,z
K1,2.769568526355034,0.45419436714949835,0.9266524059746433,0.5493477969622275,0.2789835235028868,0.22173690184706413
K2,2.026450179308098,2.572420981186374,0.7532397435146287,0.34224513347587127,0.2826157130912516,0.18130108967370476
K3,2.570227863520373,1.9838175480554812,2.9565700103483907,0.5173557138157151,0.28113583017645316,0.15620946428839177
e,0.41145888478699,0.6302513183517431,0.5030883830429411,2.5825721744842394,0.30392502391298165,0.5585148554312087
r,0.23988365237670545,0.45499375553661386,0.29215290429082585,0.32239633537831847,1.0000000000000004,0.0
z,0.16674295563157138,0.2463466902046443,0.16844685485105682,0.573055496422728,0.34193863072351155,1.0000000000000007
