,K1,K2,K3,e,r,z
K1,2.8982765466171956,0.728808024611789,0.8942402300120196,0.8278860328198836,0.6904334225016258,0.45723261966599243
K2,2.2727235649835027,2.937736263755343,0.6996947815842818,0.6433036429282266,0.4294476657415534,0.37753811027984224
K3,2.8795702382888324,2.231706317078626,2.998190502836966,0.756277218916021,0.5842954219266865,0.4483377856205446
e,0.7621295265446024,0.6358951586504946,0.749739449088086,2.8926460964723386,0.8018011060257183,0.9464680538139261
r,0.5878357623956241,0.47417125996579895,0.5842355257415796,0.6664739160669839,1.0000000000000002,0.0
z,0.4426225583776966,0.36777555665781925,0.4435926882442355,0.937013966546858,0.7747614992185239,1.0
