,K1,K2,K3,e,r,z
K1,2.8491204050400256,0.37662446735578575,0.5519714221422506,0.6224241131737482,0.46289717947933995,0.3804751964783921
K2,1.3955927170821623,2.7498153389972857,0.5156579336054945,0.5139070982040642,0.3564128191423043,0.2634036983843054
K3,1.6803385490308496,0.9993114199259476,2.586152489371278,0.5128247361083712,0.43201930029983254,0.22414662507692135
e,0.6447126201190451,0.4818257187438928,0.5937595510348619,2.697653049054752,0.5139744703957061,0.8903257906580005
r,0.4950038904090772,0.34570872425372795,0.3692828220945693,0.321491799900277,0.9999999999999997,0.0
z,0.36379515646667004,0.23785978324782628,0.3882759422710206,0.8226874146405534,0.45420072887387086,0.9999999999999998
