,K1,K2,K3,e,r,z
K1,0.6696204708277468,0.09997264656336158,0.13378917511889898,0.16824289350936752,0.4128624830641357,0.1935748646393352
K2,0.39804236622031225,0.7006422840301536,0.13623761386954764,0.14983137105926828,0.26029862112236857,0.1350954338815024
K3,0.594051787518952,0.5279129172577895,0.6474895859581338,0.14878077600973216,0.3222011162644131,0.1587099044952164
e,0.16134729066888637,0.1706642224017354,0.16855114506399355,0.7033546221684184,0.1550705135057294,0.27825375073079717
r,0.2682026775749619,0.07954951288348659,0.19382473322794574,0.20678810573544903,0.9999999999999999,0.0
z,0.16721630158956136,0.17038089695569464,0.18497968807101822,0.2795971862206206,0.48603300396043475,1.0000000000000004
