,K1,K2,K3,e,r,z
K1,2.6176469659431705,0.8262740584328236,0.9443521726643815,1.1896174781256494,0.46658094731678634,0.5915689794340586
K2,1.7653803192113813,2.8181035488310657,0.915078908775529,1.1099984860488084,0.3907819235214745,0.5911985050931883
K3,2.1980204465591155,2.568058459800383,2.9680836342983246,1.1843720465627086,0.4577047681361964,0.6162881797644975
e,0.9173214746562048,0.908567396000261,1.2196237504102796,2.5557283824207877,0.5912148986607472,0.7152189043556031
r,0.39000270180420654,0.26449560937314476,0.4535186490534214,0.5476445629480168,1.0000000000000002,0.0
z,0.3053963610241597,0.4502638011484914,0.6029652859607061,0.5256547128120177,0.6138099476294531,0.9999999999999998
