,K1,K2,K3,e,r,z
K1,2.20719845154078,0.9272595768164081,0.9287927216095564,0.5054754174019401,0.1641201391914403,0.1368820615360093
K2,1.5144482370257857,2.6890414156609577,0.6243267638075202,0.5232152155707047,0.22465282999019004,0.3026382972860364
K3,1.643246209241735,2.518132793313984,2.9864325655130988,0.5373308458759403,0.15724835841008622,0.11601595470350767
e,1.1322204409204888,0.6043083681339734,0.5635409527828438,2.732947503877945,0.7371407934486868,0.6766860901244276
r,0.5500963175107971,0.17427949532883708,0.16240913310039035,0.7131313777315325,1.0000000000000002,0.0
z,0.5866231122601293,0.20187496834161586,0.12475885488491384,0.7236415932370964,0.7909280124671318,0.9999999999999997
