,K1,K2,K3,e,r,z
K1,0.6956235865116763,0.2361771822204628,0.17890347979672772,0.21469837055604007,0.2048755137511469,0.2574609932258103
K2,0.4577592656552223,0.5980580675690926,0.11946314428672655,0.18356972886374298,0.24564370894251647,0.11479463339627097
K3,0.5836864408935806,0.5480519390911991,0.6892325154297914,0.24342060348643815,0.19261468226619047,0.2425582685522279
e,0.19237130842627903,0.19530490743314383,0.2360919369571505,0.5983570121710462,0.275490680650086,0.17938896065432056
r,0.23180085759670785,0.1995471427544065,0.2917275002191179,0.14667885112382323,0.9999999999999996,0.0
z,0.19752226651398141,0.23079892586238412,0.19951910524075897,0.22356737713526778,0.24953080677747316,1.0
