,K1,K2,K3,e,r,z
K1,0.674732402397003,0.16857863979499424,0.1850714019424013,0.275630944485448,0.36551292491615156,0.21406006455134743
K2,0.4459565890376358,0.6835663449637575,0.1699650048916092,0.1337961918130053,0.1927818712380341,0.1733047361463956
K3,0.6580512809558726,0.4760657586577023,0.726197062325072,0.27190002501918975,0.31235108230829983,0.19468532931392357
e,0.2275669971594657,0.24664794410277455,0.22307583218870497,0.6699932461398055,0.2470248250862601,0.31154125714466263
r,0.2923069693994413,0.2887319548167183,0.2936792110058561,0.2629158831483617,0.9999999999999997,0.0
z,0.16185159594788678,0.1614247119057952,0.1761073729794186,0.205054837890616,0.6229139293035622,1.0000000000000004
