,K1,K2,K3,e,r,z
K1,0.7296182229156276,0.12480406417893687,0.13383043482262885,0.22581549061642373,0.2710905652182046,0.22784731771850888
K2,0.37888141612500936,0.7293079852094633,0.22613670011343512,0.13056662942762234,0.20658388956025173,0.11740254419268074
K3,0.42919053584629696,0.6957338213580175,0.7315533124931091,0.16423132180213296,0.2008863830812721,0.15181121555500462
e,0.19295715056006824,0.13916283009899094,0.14663646943402459,0.7439059058393633,0.4096633168993928,0.4657267894419261
r,0.2314782391962149,0.18447621269900713,0.18118743591936642,0.40366974761687924,1.0000000000000002,0.0
z,0.19414721285671255,0.12781780766624562,0.1293643791688004,0.47374339491377365,0.8438028039865008,0.9999999999999998
