,K1,K2,K3,e,r,z
K1,0.7135292026757836,0.10759876310275479,0.21158637327552457,0.24138299956450743,0.3358502330972167,0.3537106094206166
K2,0.3278282217637419,0.6927429810676012,0.10597243045306107,0.10023063567224569,0.15257048853892038,0.1821675888699961
K3,0.7010831710932102,0.3419524061049744,0.7478451129996101,0.20496525510789848,0.26570670960375153,0.32517934246799446
e,0.20960091746572151,0.13558333294675448,0.20857737932479004,0.7319807269401504,0.2589049346069041,0.1758558370718349
r,0.27019713707671494,0.18663872129629042,0.26834987424919915,0.27642861371546734,1.0,0.0
z,0.32717229722856916,0.20733612708519938,0.3282214170146408,0.17521743266326317,0.6333739747491919,1.0
