,K1,K2,K3,e,r,z
K1,2.678481883310987,0.3998905862534463,0.5351567004755959,0.6729715740374701,0.8257249661282714,0.3871497292786704
K2,1.592169464881249,2.8025691361206144,0.5449504554781905,0.5993254842370731,0.5205972422447371,0.2701908677630048
K3,2.376207150075808,2.111651669031158,2.589958343832535,0.5951231040389287,0.6444022325288262,0.3174198089904328
e,0.6453891626755455,0.6826568896069416,0.6742045802559742,2.8134184886736735,0.3101410270114588,0.5565075014615943
r,0.5364053551499238,0.15909902576697318,0.3876494664558915,0.41357621147089807,0.9999999999999999,0.0
z,0.3344326031791227,0.3407617939113893,0.36995937614203644,0.5591943724412411,0.48603300396043475,1.0000000000000004
