,K1,K2,K3,e,r,z
K1,0.6544117414857926,0.2065685146082059,0.23608804316609538,0.29740436953141236,0.23329047365839317,0.2957844897170293
K2,0.4413450798028453,0.7045258872077664,0.22876972719388225,0.2774996215122021,0.19539096176073725,0.29559925254659414
K3,0.5495051116397789,0.6420146149500957,0.7420209085745811,0.29609301164067714,0.2288523840680982,0.30814408988224873
e,0.2293303686640512,0.22714184900006526,0.3049059376025699,0.6389320956051969,0.2956074493303736,0.35760945217780155
r,0.19500135090210327,0.13224780468657238,0.2267593245267107,0.2738222814740084,1.0000000000000002,0.0
z,0.15269818051207984,0.2251319005742457,0.30148264298035304,0.26282735640600885,0.6138099476294531,0.9999999999999998
