1876	-0.9426667
1876.08	-0.9870834
1876.17	-0.9531251
1876.25	-0.9444584
1876.33	-0.4892500
1876.42	-0.2585834
1876.5	-2.2625001E-02
1876.58	-3.9333332E-02
1876.67	-6.5291673E-02
1876.75	0.4621667
1876.83	0.4422500
1876.92	0.3955834
1877	0.6929584
1877.08	0.6441250
1877.17	0.7826667
1877.25	1.152708
1877.33	1.144458
1877.42	1.700083
1877.5	1.855333
1877.58	2.149458
1877.67	2.492959
1877.75	2.531792
1877.83	2.617208
1877.92	2.767667
1878	2.706458
1878.08	2.489792
1878.17	2.063375
1878.25	1.616333
1878.33	1.422458
1878.42	1.187625
1878.5	0.8755417
1878.58	0.4312917
1878.67	-7.9916663E-02
1878.75	-0.3452917
1878.83	-0.3299583
1878.92	-0.3771667
1879	-8.5000001E-02
1879.08	0.1258750
1879.17	-3.7000004E-02
1879.25	-5.0875004E-02
1879.33	-6.4750001E-02
1879.42	-0.2116250
1879.5	-0.3408750
1879.58	-0.7759584
1879.67	-0.5237917
1879.75	-0.5384583
1879.83	-0.6566667
1879.92	-0.9757084
1880	-1.141333
1880.08	-0.3616667
1880.17	-0.1692917
1880.25	-8.1583336E-02
1880.33	-0.1208750
1880.42	-0.2335833
1880.5	-0.4069167
1880.58	-0.1068750
1880.67	0.1981250
1880.75	0.4769167
1880.83	0.3572083
1880.92	0.4410000
1881	0.4243750
1881.08	0.2991667
1881.17	0.3142917
1881.25	0.4110417
1881.33	0.3185000
1881.42	0.1203750
1881.5	-3.9375000E-02
1881.58	9.3166672E-02
1881.67	1.0208331E-02
1881.75	-0.1216667
1881.83	-0.3246667
1881.92	-0.3718334
1882	-0.4365000
1882.08	-0.3974583
1882.17	-0.2572917
1882.25	-0.1872917
1882.33	-0.3114583
1882.42	-0.7723750
1882.5	-0.9150833
1882.58	-0.6934167
1882.67	-0.3923334
1882.75	-0.5960417
1882.83	-0.7107500
1882.92	-0.6322500
1883	-0.5949167
1883.08	-0.4695417
1883.17	-5.9458334E-02
1883.25	0.1316667
1883.33	0.1386667
1883.42	0.1852083
1883.5	0.2321250
1883.58	0.2109167
1883.67	8.8708334E-02
1883.75	-0.1018333
1883.83	5.2208338E-02
1883.92	-0.1726250
1884	-0.2718334
1884.08	-0.2463750
1884.17	0.1006250
1884.25	0.5180000
1884.33	0.4636250
1884.42	0.2621667
1884.5	0.2916667
1884.58	0.4677917
1884.67	0.4278334
1884.75	0.7608334
1884.83	0.7518750
1884.92	0.8725833
1885	0.7250001
1885.08	0.2949167
1885.17	0.4200417
1885.25	0.3786667
1885.33	0.1682500
1885.42	0.1327917
1885.5	-4.0250000E-02
1885.58	0.1744583
1885.67	0.5649583
1885.75	0.7364167
1885.83	0.7877501
1885.92	0.6388751
1886	7.1375005E-02
1886.08	-0.4070834
1886.17	-0.3071667
1886.25	-0.3339584
1886.33	-0.5292084
1886.42	-0.9582917
1886.5	-0.9317084
1886.58	-0.8658334
1886.67	-0.6600000
1886.75	-0.9444167
1886.83	-0.9131667
1886.92	-1.123500
1887	-0.9293334
1887.08	-0.8668334
1887.17	-0.6688750
1887.25	-0.5621667
1887.33	-0.1482917
1887.42	-1.8666666E-02
1887.5	-4.4166646E-03
1887.58	-0.3265834
1887.67	-1.3166666E-02
1887.75	3.2916653E-03
1887.83	0.2019167
1887.92	0.2922500
1888	0.5075834
1888.08	0.6724584
1888.17	0.5879584
1888.25	0.4784167
1888.33	0.8720834
1888.42	0.8656251
1888.5	0.8955417
1888.58	0.9285834
1888.67	1.491667
1888.75	1.800875
1888.83	1.976417
1888.92	2.133417
1889	2.080333
1889.08	1.609333
1889.17	1.285208
1889.25	0.9745001
1889.33	0.7251667
1889.42	0.2138750
1889.5	-0.2727083
1889.58	-0.9476667
1889.67	-0.7341250
1889.75	-1.057833
1889.83	-1.149708
1889.92	-1.107625
1890	-1.387458
1890.08	-0.8440834
1890.17	-0.8429584
1890.25	-0.5572917
1890.33	-0.4417084
1890.42	-0.5730000
1890.5	-0.6245000
1890.58	-0.6909584
1890.67	-0.6306250
1890.75	-0.9728750
1890.83	-0.8632084
1890.92	-0.2230833
1891	8.0833323E-03
1891.08	0.1995000
1891.17	0.1517917
1891.25	0.5333334
1891.33	0.6607917
1891.42	0.6017917
1891.5	0.4714167
